BALANCE_AS_OF_DATE,PLANT_NAME,MATERIAL_NAME,BATCH_NUMBER,UNRESRICTED_STOCK,STOCK_UNIT,STOCK_SELL_VALUE,CURRENCY
12/31/2023,CHINA-WAREHOUSE,MAT-0001,V9091A,1375,KG,16541,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0001,V7687A,1250,KG,15038,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0001,V6880A,1425,KG,17143,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0001,V4178A,1425,KG,17143,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0001,V5711A,1375,KG,16541,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0001,V7718A,1425,KG,17143,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0001,V4922A,1350,KG,16241,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0001,V3011A,1300,KG,15639,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0001,V9468A,1450,KG,17444,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0201,V2440A,775,KG,8231,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0201,V2478A,1300,KG,13806,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0319,S5659A,1025,KG,7534,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0048,SCRAP,24,KG,31,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0205,SCRAP,325,KG,1963,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0176,T5521A,1200,KG,15264,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0176,T5551A,1375,KG,17490,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0176,T7421A,1075,KG,13674,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0176,T1621A,4150,KG,52788,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0096,M4796B,4125,KG,18810,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0096,M9345B,1375,KG,6270,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0315,M6104A,1375,KG,4166,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0315,M9941B,6150,KG,18635,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0146,S9026A,0,KG,20406,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0146,S4280A,1125,KG,5130,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0049,S7146A,0,KG,5700,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0147,V2793A,19300,KG,9650,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0003,7795,73372,KG,68236,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0003,8045,39168,KG,36426,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0004,V3262A,150,KG,1593,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0004,V9383A,125,KG,1328,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0004,V8928C,4500,KG,47790,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0004,V2541A,2975,KG,31595,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0004,V9606A,1475,KG,15665,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0320,M7894A,16500,KG,75240,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0321,S8453A,775,KG,5696,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0321,S9604A,850,KG,6248,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0382,S6463A,50,KG,368,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0382,S1745A,900,KG,6615,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0053,R9300A,1300,KG,9867,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0053,S8578A,1375,KG,10436,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0097,E5502A,800,KG,6072,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0265,E7628A,1250,KG,9488,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0265,E7511A,2750,KG,20873,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0266,E1274A,500,KG,3795,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0266,E5970A,9625,KG,73054,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0316,E2694A,0,KG,1139,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0316,E5167A,0,KG,9677,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0316,E5537A,1000,KG,7590,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0316,E7981A,1300,KG,9867,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0316,E3713A,1375,KG,10436,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0153,E3128A,0,KG,9867,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0153,E1878A,2150,KG,16319,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0153,E9166A,1275,KG,9677,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0322,E8696A,775,KG,5882,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0322,E2050A,1275,KG,9677,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0322,E1699A,1125,KG,9677,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0383,M9989B,0,KG,1650,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0383,M9652A,0,KG,17875,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0383,M8170A,0,KG,16225,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0383,M5350A,0,KG,14025,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0383,M7382A,0,KG,12375,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0148,M3040C,2175,KG,8765,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0148,M3886B,6875,KG,27706,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0148,M4285B,16475,KG,66394,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0154,M4759B,1250,KG,413,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0154,M8847A,1325,KG,437,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0154,M8280B,750,KG,248,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0154,M3594A,1175,KG,388,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0154,M7223B,34325,KG,11327,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0154,M2220A,90675,KG,29923,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0154,M6329B,8250,KG,2723,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0378,M6884C,1200,KG,3360,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0378,M4681A,5500,KG,15400,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0155,SCRAP,175,KG,298,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0149,N5854A,0,KG,32226,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0002,N9650A,1175,KG,8918,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0267,N5963A,9400,KG,71346,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0415,N3813A,1275,KG,9677,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0156,M5851A,75,KG,569,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0156,N5558A,650,KG,4934,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0156,N3631A,1250,KG,9488,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0156,N8164A,0,KG,5693,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0156,N6530A,0,KG,6641,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0156,N5502A,6775,KG,51422,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0156,N7663A,1250,KG,9488,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0156,N4912A,1350,KG,10247,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0156,N9407A,1325,KG,10057,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0156,N4387A,1275,KG,9677,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0005,L7966A,25,KG,178,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0379,E7326A,925,KG,2701,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0379,E9728A,1200,KG,3504,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0379,E9973A,0,KG,26645,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0351,4842B,6825,KG,25526,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0385,M2584B,650,KG,4394,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0150,P5297A,975,KG,3861,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0268,P2678A,75,KG,1299,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0268,P6306A,1275,KG,9461,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0006,P6244A,3850,KG,29222,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0276,1576A9952,4125,KG,8415,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0386,5595A7743,1250,KG,2613,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0386,1057A3828,1375,KG,2874,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0386,8096A8907,1325,KG,2769,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0386,9686A6731,1025,KG,2142,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0386,2495A6397,1350,KG,2822,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0386,7257A2196,1325,KG,2769,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0386,1516A3574,1325,KG,2769,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0386,5591A3159,1250,KG,2613,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0386,8854A9016,1325,KG,2769,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0386,3919A6300,1325,KG,2769,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0386,2005A4262,6825,KG,14264,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0386,2276A1150,1350,KG,2822,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0386,8617A1424,1350,KG,2822,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0386,9926A2134,2750,KG,5748,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0386,7553A2383,22000,KG,45980,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0380,4607A1326,725,KG,1515,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0380,4170A6898,12375,KG,25864,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0380,8843A3640,15125,KG,31611,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0380,3207A6610,16500,KG,34485,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0380,2045A2314,24750,KG,51728,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0055,9307A3844,0,KG,25218,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0055,3352A8529,1175,KG,3079,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0055,8232A8755,11000,KG,28820,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0055,8441A6028,13750,KG,36025,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0055,3111A2026,13750,KG,36025,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0055,8879A8820,21950,KG,57509,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0055,7543A6859,9625,KG,25218,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0055,7455A5543,9625,KG,25218,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0055,1943A3039,13725,KG,35960,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0202,1636A5119,8250,KG,16418,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0202,2088A8246,1300,KG,2587,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0202,8540A7532,15050,KG,29950,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0202,3473A5299,1300,KG,19005,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0007,6711A4739,30250,KG,63223,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0007,3770A5786,4125,KG,8621,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0007,2203A7720,2300,KG,4807,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0317,R2819A,1000,KG,7350,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0317,S4433A,25,KG,184,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0323,P5994A,525,KG,3707,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0323,P3613A,1100,KG,7766,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0323,P3281A,1400,KG,9884,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0323,P6535A,1100,KG,7766,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0323,P7395A,1350,KG,10237,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0323,P4366A,1450,KG,10237,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0323,P4713A,1300,KG,9884,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0323,P5026A,1425,KG,10061,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0323,P9706A,1325,KG,10061,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0323,P4196A,1450,KG,10237,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0083,E2405A,525,KG,3985,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0083,E6401A,9450,KG,71726,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0056,4157A,0,KG,26501,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0056,5065A,625,KG,3469,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0056,8173A,1300,KG,7215,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0387,6043B,1950,KG,7293,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0387,6175B,18850,KG,70499,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0206,V2667A,750,KG,12150,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0206,V3568A,1050,KG,17010,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0206,V4935A,1025,KG,16605,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0324,V6353A,1075,KG,14599,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0324,V7662A,1225,KG,16636,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0324,V8530A,1200,KG,16296,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0203,7652A,4125,KG,11014,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0203,3263A,1375,KG,3671,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0278,3409A,11325,KG,32050,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0278,5611A,21800,KG,61694,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0278,8185A,0,KG,18112,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0318,R3471A,250,KG,1075,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0318,R9214A,1300,KG,5590,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0318,S2436A,75,KG,323,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0269,M1594B,20625,KG,44756,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0269,M3319B,24750,KG,53708,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0337,P1941A,1000,KG,7590,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0325,E6887A,0,KG,5863,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0326,M2076A,11000,KG,30140,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0326,M5140B,0,KG,59390,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0326,M7075B,1600,KG,5275,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0014,SCRAP,25,KG,67,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0151,R4687A,9025,KG,40703,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0151,S9301A,50,KG,226,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0015,S4665B,0,KG,31006,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0249,2238I6028PCA,1150,KG,7475,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0249,8224K5575PAE,11000,KG,71500,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0279,SCRAP,923,KG,3146,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0294,SCRAP,1300,KG,3731,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0327,M1275A,15125,KG,56568,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0327,M6379B,4125,KG,15428,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0356,M3811C,350,KG,1309,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0356,M7409A,6875,KG,25713,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0328,V7388A,775,KG,7301,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0328,V4011A,1425,KG,13424,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0328,V3563A,1450,KG,13659,CNY
