BALANCE_AS_OF_DATE,PLANT_NAME,MATERIAL_NAME,BATCH_NUMBER,UNRESRICTED_STOCK,STOCK_UNIT,STOCK_SELL_VALUE,CURRENCY
12/31/2023,CHINA-WAREHOUSE,MAT-0145,V1892A,143900,KG,1546925,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0145,V1395A,569850,KG,6125888,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0145,V2710A,262450,KG,2821338,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0145,V2944A,470950,KG,5062713,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0145,V8079A,202500,KG,2176875,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0145,V1803A,355450,KG,3821088,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0145,V2181A,569825,KG,6125619,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0001,V9135A,254875,KG,3066146,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0001,V6285A,316450,KG,3806894,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0001,V4634A,544250,KG,6547328,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0001,V2662A,254925,KG,3066748,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0001,V6964A,170925,KG,2056228,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0001,V8818A,254900,KG,3066447,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0201,V6160A,167950,KG,1783629,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0201,V3718A,211425,KG,2245334,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0201,V1024A,298375,KG,3168743,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0319,S5796A,593925,KG,4365349,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0319,S9864A,217025,KG,1595134,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0319,S4343A,148500,KG,1091475,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0176,T2572A,153000,KG,1946160,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0146,S4444A,148425,KG,676818,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0146,S5192A,262550,KG,1197228,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0049,S8187A,123700,KG,564072,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0013,V9843A,232450,KG,2498838,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0321,R2954A,138800,KG,1020180,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0382,S9368A,406675,KG,2989061,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0382,S9467A,251575,KG,1849076,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0382,S5257A,221325,KG,1626739,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0382,S9812A,395900,KG,2909865,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0382,S5223A,269350,KG,1979723,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0264,S6456A,445250,KG,3379448,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0264,S5757A,130575,KG,991064,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0097,E5352A,147075,KG,1116299,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0316,E8965A,137425,KG,1043056,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0101,E5517A,173100,KG,1313829,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0415,N4804A,486325,KG,3691207,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0415,N3272A,255550,KG,1939625,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0156,N7952A,123675,KG,938693,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0150,P1963A,153000,KG,605880,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0268,P1957A,254850,KG,1891729,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0317,R7052A,175900,KG,1292865,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0323,P9069A,159000,KG,1122540,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0206,V6782A,179775,KG,2912355,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0206,V2597A,149875,KG,2427975,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0206,V4428A,204700,KG,3316140,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0206,V9230A,189900,KG,3076380,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0324,V6452A,127275,KG,1728395,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0324,V7863A,186100,KG,2527238,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0324,V5307A,203550,KG,2764209,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0084,R6946A,134550,KG,578565,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0084,S2896A,296975,KG,1276993,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0318,S8861A,247375,KG,1063713,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0325,E9454A,240400,KG,1084204,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0325,E2304A,148450,KG,669510,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0325,E2801A,148500,KG,669735,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0325,E9560A,148450,KG,669510,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0416,E5306A,189575,KG,920892,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0416,E5995A,296775,KG,1353294,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0151,R9913A,148450,KG,669510,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0428,R7762A,241875,KG,1090856,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0015,R7302A,422125,KG,1903784,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0015,R6289A,575600,KG,2595956,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0015,R4544A,367025,KG,1655283,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0015,S9833A,145700,KG,657107,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0015,S4758A,148500,KG,779892,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0328,V6002A,254825,KG,2400452,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0270,V2994A,124450,KG,1187253,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0137,R6322A,163425,KG,737047,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0137,R2891A,203425,KG,917447,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0137,R1653A,296900,KG,1339019,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0158,P8698A,177000,KG,1260240,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0389,V7744A,265375,KG,3049159,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0389,V5648A,244500,KG,2809305,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0389,V7488A,233800,KG,2686362,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0389,V1139A,299900,KG,3445851,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0159,V8003A,173975,KG,2602666,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0032,P4331A,314950,KG,1247202,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0050,S2115A,197925,KG,892642,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0217,L5639A,153700,KG,608652,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0340,N9513A,147200,KG,1117248,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0340,N6384A,221225,KG,1679098,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0256,S4536A,148400,KG,638120,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0195,8887,133300,KG,418562,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0098,8715A,131825,KG,293970,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0198,9399,157875,KG,495728,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0198,8787,153950,KG,483403,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0261,P7905A,203875,KG,0,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0261,P9149A,178500,KG,0,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0142,V9711A,146875,KG,1559813,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0142,V2490A,199500,KG,2118690,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0142,V6324A,146925,KG,1560344,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0142,V1368A,260900,KG,2770758,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0143,V9895A,305925,KG,3248924,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0143,V4276A,178425,KG,1894874,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0143,V2118A,196175,KG,2083379,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0314,V5271A,308900,KG,3691355,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0314,V1930A,127450,KG,1523028,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0314,V3917A,521650,KG,6233718,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0314,V7931A,263875,KG,3153306,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0314,V2656A,437825,KG,5232009,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0144,V7961A,178400,KG,1894608,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0145,V2181A,569825,KG,6125619,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0145,V4730A,244350,KG,2626763,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0145,V4194A,185925,KG,1998694,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0001,V6964A,170925,KG,2056228,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0001,V8818A,254900,KG,3066447,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0001,V5910A,278875,KG,3354866,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0001,V9422A,365875,KG,4401476,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0001,V3182A,451350,KG,5429741,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0001,V7533A,191900,KG,2308557,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0001,V9040A,296900,KG,3571707,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0001,V8150A,123000,KG,1479690,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0201,V6160A,140200,KG,1488924,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0201,V3718A,211425,KG,2245334,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0201,V1024A,298375,KG,3168743,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0201,V9579A,266925,KG,2834744,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0319,S2732A,206150,KG,1879028,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0319,S3684A,379425,KG,2788774,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0146,S2020A,148425,KG,676818,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0146,S5686A,445425,KG,2031138,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0013,V9843A,176600,KG,1898450,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0013,V2096A,153000,KG,1644750,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0147,V2472A,127400,KG,63700,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0321,R6359A,148500,KG,1091475,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0321,R3567A,247500,KG,1819125,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0382,R1291A,148400,KG,1090740,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0382,S5257A,184200,KG,1353870,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0264,R1954A,148500,KG,1127115,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0264,S6456A,132600,KG,1006434,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0264,S5757A,130575,KG,991064,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0265,E9037A,272250,KG,2066378,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0316,E8772A,148500,KG,1127115,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0101,E5517A,173100,KG,0,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0379,E3752A,247125,KG,721605,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0150,P1963A,153000,KG,605880,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0268,P1957A,146850,KG,1031589,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0268,P9955A,229500,KG,1611090,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0317,R7052A,167600,KG,1231860,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0317,S6066A,217125,KG,1595869,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0323,P9069A,133500,KG,942510,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0206,V6782A,179775,KG,2912355,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0206,V2597A,149875,KG,2427975,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0206,V4428A,184700,KG,2992140,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0324,V6452A,127275,KG,1728395,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0324,V7863A,186100,KG,2527238,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0324,V5307A,203550,KG,2764209,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0318,S2529A,197925,KG,851078,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0325,E2304A,148450,KG,669510,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0325,E2801A,148500,KG,669735,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0325,E9560A,148450,KG,669510,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0416,E5306A,189575,KG,0,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0416,E5995A,296775,KG,0,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0151,R9913A,144325,KG,650906,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0428,R7762A,215675,KG,972694,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0015,R7302A,407000,KG,1835570,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0015,R6289A,550850,KG,2595956,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0015,R4544A,144600,KG,1321881,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0328,V2943A,143925,KG,1357213,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0328,V5279A,151450,KG,1428174,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0270,V8468A,170925,KG,1634043,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0137,R1653A,272150,KG,1339019,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0158,P8698A,177000,KG,1260240,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0389,V7744A,265375,KG,3022621,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0389,V5648A,189000,KG,2152710,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0389,V8412A,360000,KG,4100400,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0389,V4732A,320925,KG,3655336,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0389,V5253A,211450,KG,2408416,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0159,V8003A,173975,KG,0,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0032,P4331A,314950,KG,1247202,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0032,P2314A,152900,KG,605484,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0050,S2115A,197925,KG,0,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0217,L5639A,153700,KG,0,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0340,N6384A,219125,KG,1663159,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0042,S6411A,148500,KG,638550,CNY
1/31/2024,CHINA-WAREHOUSE,MAT-0353,S6854A,374975,KG,1612393,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0195,8887,133300,KG,418562,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0098,8715A,131825,KG,293970,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0198,9399,157800,KG,495492,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0198,8787,153950,KG,483403,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0261,P7905A,203875,KG,1451590,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0261,P9149A,178500,KG,1270920,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0142,V9711A,146875,KG,1559813,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0142,V3722A,260800,KG,2769696,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0142,V6324A,146750,KG,1558485,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0142,V1368A,260900,KG,2770758,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0143,V9895A,305925,KG,3248924,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0143,V4276A,178425,KG,1894874,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0143,V2570A,126000,KG,1338120,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0143,V8426A,229375,KG,2435963,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0314,V5271A,181400,KG,2167730,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0314,V1930A,127450,KG,1523028,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0314,V3917A,521650,KG,6233718,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0314,V7931A,263875,KG,3153306,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0314,V2656A,437825,KG,5232009,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0144,V7130A,413800,KG,4394556,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0145,V8807A,322425,KG,3466069,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0145,V9269A,268325,KG,2884494,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0145,V4709A,178400,KG,1917800,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0145,V4757A,410850,KG,4416638,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0145,V5045A,490275,KG,5270456,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0145,V8732A,127450,KG,1370088,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0145,V6538A,506800,KG,5448100,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0001,V8818A,134900,KG,1622847,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0001,V5910A,278875,KG,3354866,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0001,V9422A,365875,KG,4401476,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0001,V3182A,451350,KG,5429741,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0001,V7533A,191900,KG,2308557,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0001,V9040A,296900,KG,3571707,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0001,V8150A,123000,KG,1479690,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0201,V3718A,211425,KG,2245334,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0201,V1024A,298375,KG,3168743,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0201,V9579A,266925,KG,2834744,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0319,S2732A,156650,KG,1515203,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0319,S6068A,296800,KG,2181480,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0319,S1097A,257075,KG,1889501,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0319,S3536A,197975,KG,1455116,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0176,T3711A,167900,KG,2135688,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0146,S2020A,148425,KG,676818,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0146,S5686A,251550,KG,1147068,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0049,S7888A,365550,KG,1666908,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0013,V5879A,211450,KG,2273088,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0013,V2096A,153000,KG,1644750,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0382,S4096A,474150,KG,3485003,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0382,S9949A,296875,KG,2182031,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0264,S4784A,125125,KG,949699,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0264,S9841A,148500,KG,1127115,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0097,E5345A,169050,KG,1283090,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0097,E2442A,375225,KG,2847958,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0266,E8836A,148350,KG,1125977,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0316,E7757A,318650,KG,2418554,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0316,E5138A,126400,KG,959376,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0316,E2071A,148425,KG,1126546,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0316,E5478A,148450,KG,1126736,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0316,E1954A,148400,KG,1126356,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0101,E5517A,173100,KG,1313829,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0153,E9522A,192250,KG,1459178,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0153,E2471A,130400,KG,989736,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0153,E3979A,444125,KG,3370909,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0322,E6168A,375375,KG,2849096,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0322,E1720A,614500,KG,4664055,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0384,S6577A,148425,KG,1090924,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0379,E7383A,296825,KG,866729,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0379,E3307A,148425,KG,433401,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0150,P1963A,153000,KG,605880,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0268,P9955A,229500,KG,1643220,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0317,R7052A,142850,KG,1049948,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0317,S6066A,217125,KG,1595869,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0323,P9069A,133500,KG,942510,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0056,5319A,192425,KG,1067959,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0056,9223A,177150,KG,983183,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0206,V6782A,179775,KG,2912355,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0206,V2597A,149875,KG,2427975,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0324,V6452A,127275,KG,1728395,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0324,V7863A,186100,KG,2527238,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0324,V5307A,203550,KG,2764209,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0084,S2733A,148500,KG,638550,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0318,S2529A,173100,KG,744330,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0318,S9670A,445350,KG,1915005,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0325,E2304A,148450,KG,669510,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0325,E2801A,148500,KG,669735,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0325,E9560A,148450,KG,669510,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0416,E5306A,189575,KG,920892,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0416,E5995A,296775,KG,1353294,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0151,R9913A,144325,KG,650906,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0151,R6876A,131925,KG,594982,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0428,R7762A,166175,KG,749449,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0428,R7924A,197850,KG,892304,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0015,R7302A,308000,KG,1389080,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0015,R6289A,538475,KG,2428522,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0015,R4544A,144600,KG,1098636,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0328,V2943A,134925,KG,1275041,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0328,V5279A,437825,KG,4137446,CNY
2/29/2024,CHINA-WAREHOUSE,MAT-0328,V4912A,349325,KG,3301121,CNY
