INBOUND_DATE,PLANT_NAME,MATERIAL_NAME,NET_QUANTITY_MT,POLYMER_TYPE,SHELF_LIFE_IN_MONTH,DOWNGRADE_VALUE_LOST_PERCENT,SHELF_LIFE_Timestamp,suggestion_to_outbound
2024-05-19,SINGAPORE-WAREHOUSE,MAT-0011,9.625,P-001,3,5,2024-08-19,2024-08-19
2024-05-19,SINGAPORE-WAREHOUSE,MAT-0011,15.125,P-001,3,5,2024-08-19,2024-08-19
2024-05-27,SINGAPORE-WAREHOUSE,MAT-0367,24.75,P-001,4,20,2024-09-27,2024-09-27
2024-05-27,SINGAPORE-WAREHOUSE,MAT-0367,16.5,P-001,4,20,2024-09-27,2024-09-27
2024-05-27,SINGAPORE-WAREHOUSE,MAT-0367,8.25,P-001,4,20,2024-09-27,2024-09-27
2024-06-17,SINGAPORE-WAREHOUSE,MAT-0374,9.625,P-001,3,25,2024-09-17,2024-09-17
2024-06-17,SINGAPORE-WAREHOUSE,MAT-0374,15.125,P-001,3,25,2024-09-17,2024-09-17
2024-07-05,SINGAPORE-WAREHOUSE,MAT-0247,24.75,P-001,6,20,2025-01-05,2025-01-05
2024-07-05,SINGAPORE-WAREHOUSE,MAT-0247,4.125,P-001,6,20,2025-01-05,2025-01-05
2024-07-05,SINGAPORE-WAREHOUSE,MAT-0247,20.625,P-001,6,20,2025-01-05,2025-01-05
2024-07-25,SINGAPORE-WAREHOUSE,MAT-0234,24.75,P-001,5,10,2024-12-25,2024-12-25
2024-07-25,SINGAPORE-WAREHOUSE,MAT-0234,16.5,P-001,5,10,2024-12-25,2024-12-25
2024-07-25,SINGAPORE-WAREHOUSE,MAT-0234,8.25,P-001,5,10,2024-12-25,2024-12-25
2024-07-25,SINGAPORE-WAREHOUSE,MAT-0234,11.0,P-001,5,10,2024-12-25,2024-12-25
2024-07-25,SINGAPORE-WAREHOUSE,MAT-0234,13.75,P-001,5,10,2024-12-25,2024-12-25
2024-08-04,SINGAPORE-WAREHOUSE,MAT-0335,24.75,P-001,8,5,2025-04-04,2025-04-04
2024-08-11,SINGAPORE-WAREHOUSE,MAT-0363,19.25,P-001,7,5,2025-03-11,2025-03-11
2024-08-11,SINGAPORE-WAREHOUSE,MAT-0363,5.5,P-001,7,5,2025-03-11,2025-03-11
2024-08-11,SINGAPORE-WAREHOUSE,MAT-0363,24.75,P-001,7,5,2025-03-11,2025-03-11
2024-08-22,SINGAPORE-WAREHOUSE,MAT-0046,24.75,P-001,5,5,2025-01-22,2025-01-22
2024-08-26,SINGAPORE-WAREHOUSE,MAT-0175,6.875,P-001,5,20,2025-01-26,2025-01-26
2024-08-26,SINGAPORE-WAREHOUSE,MAT-0175,17.875,P-001,5,20,2025-01-26,2025-01-26
2024-08-26,SINGAPORE-WAREHOUSE,MAT-0175,24.75,P-001,5,20,2025-01-26,2025-01-26
2024-08-26,SINGAPORE-WAREHOUSE,MAT-0392,16.5,P-001,2,20,2024-10-26,2024-10-26
2024-08-26,SINGAPORE-WAREHOUSE,MAT-0392,5.5,P-001,2,20,2024-10-26,2024-10-26
2024-09-13,SINGAPORE-WAREHOUSE,MAT-0116,9.625,P-001,5,25,2025-02-13,2025-02-13
2024-09-13,SINGAPORE-WAREHOUSE,MAT-0116,15.125,P-001,5,25,2025-02-13,2025-02-13
2024-09-13,SINGAPORE-WAREHOUSE,MAT-0116,24.75,P-001,5,25,2025-02-13,2025-02-13
2024-09-13,SINGAPORE-WAREHOUSE,MAT-0085,24.75,P-001,8,25,2025-05-13,2025-05-13
2024-09-13,SINGAPORE-WAREHOUSE,MAT-0424,24.75,P-001,7,30,2025-04-13,2025-04-13
2024-09-24,SINGAPORE-WAREHOUSE,MAT-0244,8.25,P-001,2,25,2024-11-24,2024-11-24
2024-09-24,SINGAPORE-WAREHOUSE,MAT-0244,16.5,P-001,2,25,2024-11-24,2024-11-24
2024-09-24,SINGAPORE-WAREHOUSE,MAT-0244,24.75,P-001,2,25,2024-11-24,2024-11-24
2024-09-24,SINGAPORE-WAREHOUSE,MAT-0244,15.125,P-001,2,25,2024-11-24,2024-11-24
2024-09-24,SINGAPORE-WAREHOUSE,MAT-0244,9.625,P-001,2,25,2024-11-24,2024-11-24
2024-09-24,SINGAPORE-WAREHOUSE,MAT-0244,17.875,P-001,2,25,2024-11-24,2024-11-24
2024-09-24,SINGAPORE-WAREHOUSE,MAT-0244,6.875,P-001,2,25,2024-11-24,2024-11-24
2024-10-06,SINGAPORE-WAREHOUSE,MAT-0099,24.75,P-001,6,20,2025-04-06,2025-04-06
2024-10-06,SINGAPORE-WAREHOUSE,MAT-0099,15.125,P-001,6,20,2025-04-06,2025-04-06
2024-10-06,SINGAPORE-WAREHOUSE,MAT-0099,9.625,P-001,6,20,2025-04-06,2025-04-06
2024-10-06,SINGAPORE-WAREHOUSE,MAT-0099,5.5,P-001,6,20,2025-04-06,2025-04-06
2024-10-06,SINGAPORE-WAREHOUSE,MAT-0099,19.25,P-001,6,20,2025-04-06,2025-04-06
2024-10-15,SINGAPORE-WAREHOUSE,MAT-0171,24.75,P-001,6,5,2025-04-15,2025-04-15
2024-10-15,SINGAPORE-WAREHOUSE,MAT-0171,13.75,P-001,6,5,2025-04-15,2025-04-15
2024-10-15,SINGAPORE-WAREHOUSE,MAT-0171,11.0,P-001,6,5,2025-04-15,2025-04-15
2023-11-16,SINGAPORE-WAREHOUSE,MAT-0068,24.75,P-001,6,20,2024-05-16,2024-05-16
2023-12-21,SINGAPORE-WAREHOUSE,MAT-0304,22.5,P-003,8,25,2024-08-21,2024-08-21
2023-11-20,SINGAPORE-WAREHOUSE,MAT-0413,24.75,P-001,7,20,2024-06-20,2024-06-20
2023-11-20,SINGAPORE-WAREHOUSE,MAT-0413,5.5,P-001,7,20,2024-06-20,2024-06-20
2023-11-20,SINGAPORE-WAREHOUSE,MAT-0413,19.25,P-001,7,20,2024-06-20,2024-06-20
2023-11-20,SINGAPORE-WAREHOUSE,MAT-0413,12.375,P-001,7,20,2024-06-20,2024-06-20
2023-11-20,SINGAPORE-WAREHOUSE,MAT-0413,8.25,P-001,7,20,2024-06-20,2024-06-20
2023-11-20,SINGAPORE-WAREHOUSE,MAT-0413,16.5,P-001,7,20,2024-06-20,2024-06-20
2023-11-20,SINGAPORE-WAREHOUSE,MAT-0413,17.875,P-001,7,20,2024-06-20,2024-06-20
2023-11-20,SINGAPORE-WAREHOUSE,MAT-0413,6.875,P-001,7,20,2024-06-20,2024-06-20
2023-12-08,SINGAPORE-WAREHOUSE,MAT-0056,24.75,P-001,3,5,2024-03-08,2024-03-08
2023-12-08,SINGAPORE-WAREHOUSE,MAT-0056,6.875,P-001,3,5,2024-03-08,2024-03-08
2023-12-08,SINGAPORE-WAREHOUSE,MAT-0056,17.875,P-001,3,5,2024-03-08,2024-03-08
2023-11-07,SINGAPORE-WAREHOUSE,MAT-0116,23.375,P-001,5,25,2024-04-07,2024-04-07
2023-11-07,SINGAPORE-WAREHOUSE,MAT-0085,23.375,P-001,8,25,2024-07-07,2024-07-07
2023-11-07,SINGAPORE-WAREHOUSE,MAT-0309,24.75,P-001,5,15,2024-04-07,2024-04-07
2023-11-26,SINGAPORE-WAREHOUSE,MAT-0413,24.75,P-001,7,20,2024-06-26,2024-06-26
2023-11-26,SINGAPORE-WAREHOUSE,MAT-0413,15.125,P-001,7,20,2024-06-26,2024-06-26
2023-11-26,SINGAPORE-WAREHOUSE,MAT-0413,9.625,P-001,7,20,2024-06-26,2024-06-26
2023-11-26,SINGAPORE-WAREHOUSE,MAT-0413,22.0,P-001,7,20,2024-06-26,2024-06-26
2023-11-26,SINGAPORE-WAREHOUSE,MAT-0413,2.75,P-001,7,20,2024-06-26,2024-06-26
2023-11-26,SINGAPORE-WAREHOUSE,MAT-0413,13.75,P-001,7,20,2024-06-26,2024-06-26
2023-11-26,SINGAPORE-WAREHOUSE,MAT-0413,11.0,P-001,7,20,2024-06-26,2024-06-26
2023-11-22,SINGAPORE-WAREHOUSE,MAT-0218,24.75,P-001,4,30,2024-03-22,2024-03-22
2023-11-22,SINGAPORE-WAREHOUSE,MAT-0218,12.375,P-001,4,30,2024-03-22,2024-03-22
2023-11-22,SINGAPORE-WAREHOUSE,MAT-0164,23.375,P-001,2,5,2024-01-22,2024-01-22
2023-11-22,SINGAPORE-WAREHOUSE,MAT-0211,24.75,P-001,7,25,2024-06-22,2024-06-22
2023-11-22,SINGAPORE-WAREHOUSE,MAT-0207,23.375,P-001,4,15,2024-03-22,2024-03-22
2023-11-22,SINGAPORE-WAREHOUSE,MAT-0367,24.75,P-001,4,20,2024-03-22,2024-03-22
2023-11-23,SINGAPORE-WAREHOUSE,MAT-0421,11.0,P-001,8,15,2024-07-23,2024-07-23
2023-11-23,SINGAPORE-WAREHOUSE,MAT-0421,13.75,P-001,8,15,2024-07-23,2024-07-23
2023-11-23,SINGAPORE-WAREHOUSE,MAT-0421,6.875,P-001,8,15,2024-07-23,2024-07-23
2023-11-23,SINGAPORE-WAREHOUSE,MAT-0421,17.875,P-001,8,15,2024-07-23,2024-07-23
2023-11-23,SINGAPORE-WAREHOUSE,MAT-0421,4.125,P-001,8,15,2024-07-23,2024-07-23
2023-11-23,SINGAPORE-WAREHOUSE,MAT-0421,20.625,P-001,8,15,2024-07-23,2024-07-23
2023-11-23,SINGAPORE-WAREHOUSE,MAT-0421,24.75,P-001,8,15,2024-07-23,2024-07-23
2023-11-23,SINGAPORE-WAREHOUSE,MAT-0421,9.625,P-001,8,15,2024-07-23,2024-07-23
2023-11-23,SINGAPORE-WAREHOUSE,MAT-0421,15.125,P-001,8,15,2024-07-23,2024-07-23
2023-11-23,SINGAPORE-WAREHOUSE,MAT-0237,24.75,P-001,8,5,2024-07-23,2024-07-23
2023-11-23,SINGAPORE-WAREHOUSE,MAT-0237,16.5,P-001,8,5,2024-07-23,2024-07-23
2023-11-23,SINGAPORE-WAREHOUSE,MAT-0237,8.25,P-001,8,5,2024-07-23,2024-07-23
2023-11-23,SINGAPORE-WAREHOUSE,MAT-0237,2.75,P-001,8,5,2024-07-23,2024-07-23
2023-11-23,SINGAPORE-WAREHOUSE,MAT-0237,1.375,P-001,8,5,2024-07-23,2024-07-23
2023-11-23,SINGAPORE-WAREHOUSE,MAT-0237,13.75,P-001,8,5,2024-07-23,2024-07-23
2023-11-23,SINGAPORE-WAREHOUSE,MAT-0237,9.625,P-001,8,5,2024-07-23,2024-07-23
2023-11-23,SINGAPORE-WAREHOUSE,MAT-0237,15.125,P-001,8,5,2024-07-23,2024-07-23
2023-11-23,SINGAPORE-WAREHOUSE,MAT-0237,11.0,P-001,8,5,2024-07-23,2024-07-23
2023-11-23,SINGAPORE-WAREHOUSE,MAT-0237,17.875,P-001,8,5,2024-07-23,2024-07-23
2023-11-23,SINGAPORE-WAREHOUSE,MAT-0237,6.875,P-001,8,5,2024-07-23,2024-07-23
2023-11-23,SINGAPORE-WAREHOUSE,MAT-0237,12.375,P-001,8,5,2024-07-23,2024-07-23
2023-12-01,SINGAPORE-WAREHOUSE,MAT-0221,22.5,P-001,8,25,2024-08-01,2024-08-01
2023-12-01,SINGAPORE-WAREHOUSE,MAT-0303,20.0,P-001,5,10,2024-05-01,2024-05-01
2023-11-23,SINGAPORE-WAREHOUSE,MAT-0237,5.5,P-001,8,5,2024-07-23,2024-07-23
2023-11-23,SINGAPORE-WAREHOUSE,MAT-0237,19.25,P-001,8,5,2024-07-23,2024-07-23
2023-12-01,SINGAPORE-WAREHOUSE,MAT-0303,6.25,P-001,5,10,2024-05-01,2024-05-01
2023-12-01,SINGAPORE-WAREHOUSE,MAT-0303,13.75,P-001,5,10,2024-05-01,2024-05-01
2023-11-18,SINGAPORE-WAREHOUSE,MAT-0062,24.75,P-001,7,30,2024-06-18,2024-06-18
2023-11-18,SINGAPORE-WAREHOUSE,MAT-0062,2.75,P-001,7,30,2024-06-18,2024-06-18
2023-11-18,SINGAPORE-WAREHOUSE,MAT-0062,22.0,P-001,7,30,2024-06-18,2024-06-18
2023-11-18,SINGAPORE-WAREHOUSE,MAT-0228,23.375,P-001,7,10,2024-06-18,2024-06-18
2023-11-18,SINGAPORE-WAREHOUSE,MAT-0228,1.375,P-001,7,10,2024-06-18,2024-06-18
2023-11-18,SINGAPORE-WAREHOUSE,MAT-0228,4.125,P-001,7,10,2024-06-18,2024-06-18
2023-11-18,SINGAPORE-WAREHOUSE,MAT-0228,20.625,P-001,7,10,2024-06-18,2024-06-18
2023-11-18,SINGAPORE-WAREHOUSE,MAT-0228,24.75,P-001,7,10,2024-06-18,2024-06-18
2023-11-18,SINGAPORE-WAREHOUSE,MAT-0228,17.875,P-001,7,10,2024-06-18,2024-06-18
2023-11-18,SINGAPORE-WAREHOUSE,MAT-0228,6.875,P-001,7,10,2024-06-18,2024-06-18
2023-11-18,SINGAPORE-WAREHOUSE,MAT-0395,24.75,P-001,7,25,2024-06-18,2024-06-18
2023-11-18,SINGAPORE-WAREHOUSE,MAT-0112,13.75,P-001,6,20,2024-05-18,2024-05-18
2023-11-18,SINGAPORE-WAREHOUSE,MAT-0112,11.0,P-001,6,20,2024-05-18,2024-05-18
2023-11-18,SINGAPORE-WAREHOUSE,MAT-0112,24.75,P-001,6,20,2024-05-18,2024-05-18
2023-11-18,SINGAPORE-WAREHOUSE,MAT-0112,4.125,P-001,6,20,2024-05-18,2024-05-18
2023-11-18,SINGAPORE-WAREHOUSE,MAT-0112,20.625,P-001,6,20,2024-05-18,2024-05-18
2024-01-02,SINGAPORE-WAREHOUSE,MAT-0366,22.5,P-003,8,25,2024-09-02,2024-09-02
2023-11-13,SINGAPORE-WAREHOUSE,MAT-0273,24.75,P-001,8,30,2024-07-13,2024-07-13
2023-11-13,SINGAPORE-WAREHOUSE,MAT-0354,24.75,P-001,7,25,2024-06-13,2024-06-13
2023-12-05,SINGAPORE-WAREHOUSE,MAT-0413,24.75,P-001,7,20,2024-07-05,2024-07-05
2023-12-05,SINGAPORE-WAREHOUSE,MAT-0413,20.625,P-001,7,20,2024-07-05,2024-07-05
2023-12-05,SINGAPORE-WAREHOUSE,MAT-0413,4.125,P-001,7,20,2024-07-05,2024-07-05
2023-12-05,SINGAPORE-WAREHOUSE,MAT-0413,16.5,P-001,7,20,2024-07-05,2024-07-05
2023-12-05,SINGAPORE-WAREHOUSE,MAT-0413,8.25,P-001,7,20,2024-07-05,2024-07-05
2023-12-11,SINGAPORE-WAREHOUSE,MAT-0109,16.5,P-001,8,10,2024-08-11,2024-08-11
2023-12-11,SINGAPORE-WAREHOUSE,MAT-0109,8.25,P-001,8,10,2024-08-11,2024-08-11
2023-12-11,SINGAPORE-WAREHOUSE,MAT-0109,24.75,P-001,8,10,2024-08-11,2024-08-11
2023-12-13,SINGAPORE-WAREHOUSE,MAT-0349,9.625,P-001,8,25,2024-08-13,2024-08-13
2023-12-13,SINGAPORE-WAREHOUSE,MAT-0349,15.125,P-001,8,25,2024-08-13,2024-08-13
2023-12-13,SINGAPORE-WAREHOUSE,MAT-0349,24.75,P-001,8,25,2024-08-13,2024-08-13
2023-12-17,SINGAPORE-WAREHOUSE,MAT-0056,24.75,P-001,3,5,2024-03-17,2024-03-17
2023-11-30,SINGAPORE-WAREHOUSE,MAT-0237,24.75,P-001,8,5,2024-07-30,2024-07-30
2023-11-30,SINGAPORE-WAREHOUSE,MAT-0237,9.625,P-001,8,5,2024-07-30,2024-07-30
2023-11-30,SINGAPORE-WAREHOUSE,MAT-0237,15.125,P-001,8,5,2024-07-30,2024-07-30
2023-11-30,SINGAPORE-WAREHOUSE,MAT-0085,24.75,P-001,8,25,2024-07-30,2024-07-30
2023-11-30,SINGAPORE-WAREHOUSE,MAT-0085,11.0,P-001,8,25,2024-07-30,2024-07-30
2023-11-30,SINGAPORE-WAREHOUSE,MAT-0085,13.75,P-001,8,25,2024-07-30,2024-07-30
2023-11-30,SINGAPORE-WAREHOUSE,MAT-0237,17.875,P-001,8,5,2024-07-30,2024-07-30
2023-11-30,SINGAPORE-WAREHOUSE,MAT-0237,6.875,P-001,8,5,2024-07-30,2024-07-30
2023-12-03,SINGAPORE-WAREHOUSE,MAT-0056,24.75,P-001,3,5,2024-03-03,2024-03-03
2023-12-03,SINGAPORE-WAREHOUSE,MAT-0056,13.75,P-001,3,5,2024-03-03,2024-03-03
2023-12-03,SINGAPORE-WAREHOUSE,MAT-0056,11.0,P-001,3,5,2024-03-03,2024-03-03
2023-12-21,SINGAPORE-WAREHOUSE,MAT-0135,24.75,P-001,3,20,2024-03-21,2024-03-21
2023-12-21,SINGAPORE-WAREHOUSE,MAT-0135,11.0,P-001,3,20,2024-03-21,2024-03-21
2023-12-21,SINGAPORE-WAREHOUSE,MAT-0135,13.75,P-001,3,20,2024-03-21,2024-03-21
2023-12-21,SINGAPORE-WAREHOUSE,MAT-0135,2.75,P-001,3,20,2024-03-21,2024-03-21
2023-12-21,SINGAPORE-WAREHOUSE,MAT-0135,22.0,P-001,3,20,2024-03-21,2024-03-21
2023-12-21,SINGAPORE-WAREHOUSE,MAT-0135,8.25,P-001,3,20,2024-03-21,2024-03-21
2023-12-21,SINGAPORE-WAREHOUSE,MAT-0135,16.5,P-001,3,20,2024-03-21,2024-03-21
2023-12-21,SINGAPORE-WAREHOUSE,MAT-0355,24.75,P-001,7,25,2024-07-21,2024-07-21
2023-12-21,SINGAPORE-WAREHOUSE,MAT-0355,22.0,P-001,7,25,2024-07-21,2024-07-21
2023-12-21,SINGAPORE-WAREHOUSE,MAT-0355,2.75,P-001,7,25,2024-07-21,2024-07-21
2023-12-08,SINGAPORE-WAREHOUSE,MAT-0267,24.75,P-001,2,15,2024-02-08,2024-02-08
2024-01-03,SINGAPORE-WAREHOUSE,MAT-0302,8.25,P-001,4,20,2024-05-03,2024-05-03
2024-01-03,SINGAPORE-WAREHOUSE,MAT-0302,16.5,P-001,4,20,2024-05-03,2024-05-03
2024-01-03,SINGAPORE-WAREHOUSE,MAT-0302,24.75,P-001,4,20,2024-05-03,2024-05-03
2024-01-03,SINGAPORE-WAREHOUSE,MAT-0247,24.75,P-001,6,20,2024-07-03,2024-07-03
2024-01-03,SINGAPORE-WAREHOUSE,MAT-0247,15.125,P-001,6,20,2024-07-03,2024-07-03
2024-01-03,SINGAPORE-WAREHOUSE,MAT-0247,9.625,P-001,6,20,2024-07-03,2024-07-03
2024-01-10,SINGAPORE-WAREHOUSE,MAT-0371,2.25,P-003,6,30,2024-07-10,2024-07-10
2024-01-10,SINGAPORE-WAREHOUSE,MAT-0371,18.75,P-003,6,30,2024-07-10,2024-07-10
2024-01-10,SINGAPORE-WAREHOUSE,MAT-0371,21.0,P-003,6,30,2024-07-10,2024-07-10
2024-01-10,SINGAPORE-WAREHOUSE,MAT-0371,6.0,P-003,6,30,2024-07-10,2024-07-10
2024-01-10,SINGAPORE-WAREHOUSE,MAT-0371,15.0,P-003,6,30,2024-07-10,2024-07-10
2024-01-10,SINGAPORE-WAREHOUSE,MAT-0371,1.5,P-003,6,30,2024-07-10,2024-07-10
2024-01-10,SINGAPORE-WAREHOUSE,MAT-0371,19.5,P-003,6,30,2024-07-10,2024-07-10
2023-12-02,SINGAPORE-WAREHOUSE,MAT-0046,24.75,P-001,5,5,2024-05-02,2024-05-02
2023-12-02,SINGAPORE-WAREHOUSE,MAT-0046,17.875,P-001,5,5,2024-05-02,2024-05-02
2023-12-02,SINGAPORE-WAREHOUSE,MAT-0046,6.875,P-001,5,5,2024-05-02,2024-05-02
2023-12-02,SINGAPORE-WAREHOUSE,MAT-0364,19.25,P-001,7,5,2024-07-02,2024-07-02
2023-12-02,SINGAPORE-WAREHOUSE,MAT-0364,5.5,P-001,7,5,2024-07-02,2024-07-02
2023-12-02,SINGAPORE-WAREHOUSE,MAT-0210,2.75,P-001,3,10,2024-03-02,2024-03-02
2023-12-02,SINGAPORE-WAREHOUSE,MAT-0210,22.0,P-001,3,10,2024-03-02,2024-03-02
2023-12-14,SINGAPORE-WAREHOUSE,MAT-0413,13.75,P-001,7,20,2024-07-14,2024-07-14
2023-12-14,SINGAPORE-WAREHOUSE,MAT-0413,11.0,P-001,7,20,2024-07-14,2024-07-14
2023-12-14,SINGAPORE-WAREHOUSE,MAT-0413,24.75,P-001,7,20,2024-07-14,2024-07-14
2023-12-14,SINGAPORE-WAREHOUSE,MAT-0413,4.125,P-001,7,20,2024-07-14,2024-07-14
2023-12-14,SINGAPORE-WAREHOUSE,MAT-0413,20.625,P-001,7,20,2024-07-14,2024-07-14
2023-12-15,SINGAPORE-WAREHOUSE,MAT-0099,5.5,P-001,6,20,2024-06-15,2024-06-15
2023-12-15,SINGAPORE-WAREHOUSE,MAT-0099,19.25,P-001,6,20,2024-06-15,2024-06-15
2023-12-15,SINGAPORE-WAREHOUSE,MAT-0099,24.75,P-001,6,20,2024-06-15,2024-06-15
2023-12-15,SINGAPORE-WAREHOUSE,MAT-0305,13.75,P-001,2,15,2024-02-15,2024-02-15
2023-12-15,SINGAPORE-WAREHOUSE,MAT-0305,11.0,P-001,2,15,2024-02-15,2024-02-15
2023-12-15,SINGAPORE-WAREHOUSE,MAT-0274,23.375,P-001,4,30,2024-04-15,2024-04-15
2023-12-26,SINGAPORE-WAREHOUSE,MAT-0247,24.75,P-001,6,20,2024-06-26,2024-06-26
2023-12-26,SINGAPORE-WAREHOUSE,MAT-0247,11.0,P-001,6,20,2024-06-26,2024-06-26
2023-12-26,SINGAPORE-WAREHOUSE,MAT-0247,13.75,P-001,6,20,2024-06-26,2024-06-26
2024-01-12,SINGAPORE-WAREHOUSE,MAT-0371,6.0,P-003,6,30,2024-07-12,2024-07-12
2024-01-12,SINGAPORE-WAREHOUSE,MAT-0371,15.0,P-003,6,30,2024-07-12,2024-07-12
2024-01-12,SINGAPORE-WAREHOUSE,MAT-0371,21.0,P-003,6,30,2024-07-12,2024-07-12
2024-01-12,SINGAPORE-WAREHOUSE,MAT-0371,6.75,P-003,6,30,2024-07-12,2024-07-12
2024-01-12,SINGAPORE-WAREHOUSE,MAT-0371,14.25,P-003,6,30,2024-07-12,2024-07-12
2023-12-15,SINGAPORE-WAREHOUSE,MAT-0099,9.625,P-001,6,20,2024-06-15,2024-06-15
2023-12-15,SINGAPORE-WAREHOUSE,MAT-0099,15.125,P-001,6,20,2024-06-15,2024-06-15
2023-12-15,SINGAPORE-WAREHOUSE,MAT-0099,17.875,P-001,6,20,2024-06-15,2024-06-15
2023-12-15,SINGAPORE-WAREHOUSE,MAT-0099,6.875,P-001,6,20,2024-06-15,2024-06-15
2023-12-15,SINGAPORE-WAREHOUSE,MAT-0099,8.25,P-001,6,20,2024-06-15,2024-06-15
2023-12-15,SINGAPORE-WAREHOUSE,MAT-0099,16.5,P-001,6,20,2024-06-15,2024-06-15
2023-12-15,SINGAPORE-WAREHOUSE,MAT-0305,24.75,P-001,2,15,2024-02-15,2024-02-15
2023-12-27,SINGAPORE-WAREHOUSE,MAT-0072,16.5,P-001,6,10,2024-06-27,2024-06-27
2023-12-27,SINGAPORE-WAREHOUSE,MAT-0072,8.25,P-001,6,10,2024-06-27,2024-06-27
2023-12-27,SINGAPORE-WAREHOUSE,MAT-0072,24.75,P-001,6,10,2024-06-27,2024-06-27
2023-12-27,SINGAPORE-WAREHOUSE,MAT-0072,20.625,P-001,6,10,2024-06-27,2024-06-27
2023-12-27,SINGAPORE-WAREHOUSE,MAT-0072,4.125,P-001,6,10,2024-06-27,2024-06-27
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0056,24.75,P-001,3,5,2024-04-01,2024-04-01
2024-01-14,SINGAPORE-WAREHOUSE,MAT-0371,12.0,P-003,6,30,2024-07-14,2024-07-14
2024-01-14,SINGAPORE-WAREHOUSE,MAT-0371,3.0,P-003,6,30,2024-07-14,2024-07-14
2024-01-14,SINGAPORE-WAREHOUSE,MAT-0371,9.0,P-003,6,30,2024-07-14,2024-07-14
2024-01-14,SINGAPORE-WAREHOUSE,MAT-0371,6.75,P-003,6,30,2024-07-14,2024-07-14
2024-01-14,SINGAPORE-WAREHOUSE,MAT-0371,5.25,P-003,6,30,2024-07-14,2024-07-14
2024-01-14,SINGAPORE-WAREHOUSE,MAT-0371,0.75,P-003,6,30,2024-07-14,2024-07-14
2024-01-14,SINGAPORE-WAREHOUSE,MAT-0371,11.25,P-003,6,30,2024-07-14,2024-07-14
2024-01-14,SINGAPORE-WAREHOUSE,MAT-0371,8.25,P-003,6,30,2024-07-14,2024-07-14
2024-01-14,SINGAPORE-WAREHOUSE,MAT-0371,3.75,P-003,6,30,2024-07-14,2024-07-14
2024-01-14,SINGAPORE-WAREHOUSE,MAT-0371,2.25,P-003,6,30,2024-07-14,2024-07-14
2024-01-14,SINGAPORE-WAREHOUSE,MAT-0371,9.75,P-003,6,30,2024-07-14,2024-07-14
2024-01-14,SINGAPORE-WAREHOUSE,MAT-0371,4.5,P-003,6,30,2024-07-14,2024-07-14
