PLANT_NAME,OUTBOUND_DATE,MODE_OF_TRANSPORT,MATERIAL_NAME,CUSTOMER_NUMBER,NET_QUANTITY_MT,Transfer_Cost
CHINA-WAREHOUSE,2024/01/02,Truck,MAT-0339,CST-00025,0.35,19.108
CHINA-WAREHOUSE,2024/01/02,Truck,MAT-0340,CST-00010,24.75,19.108
CHINA-WAREHOUSE,2024/01/02,Truck,MAT-0382,CST-00008,24.75,19.108
CHINA-WAREHOUSE,2024/01/02,Truck,MAT-0389,CST-00028,3.01,19.108
CHINA-WAREHOUSE,2024/01/02,Truck,MAT-0390,CST-00033,5.5,19.108
CHINA-WAREHOUSE,2024/01/02,Truck,MAT-0415,CST-00006,24.75,19.108
CHINA-WAREHOUSE,2024/01/02,Truck,MAT-0428,CST-00004,24.75,19.108
CHINA-WAREHOUSE,2024/01/03,Truck,MAT-0001,CST-00037,25.5,38.217
CHINA-WAREHOUSE,2024/01/03,Truck,MAT-0005,CST-00062,0.03,19.108
CHINA-WAREHOUSE,2024/01/03,Truck,MAT-0013,CST-00065,10.5,19.108
CHINA-WAREHOUSE,2024/01/03,Truck,MAT-0056,CST-00011,24.76,38.217
CHINA-WAREHOUSE,2024/01/03,Truck,MAT-0064,CST-00057,23.0,19.108
CHINA-WAREHOUSE,2024/01/03,Truck,MAT-0082,CST-00037,22.5,19.108
CHINA-WAREHOUSE,2024/01/03,Truck,MAT-0082,CST-00053,45.0,38.217
CHINA-WAREHOUSE,2024/01/03,Truck,MAT-0084,CST-00050,17.88,19.108
CHINA-WAREHOUSE,2024/01/03,Truck,MAT-0111,CST-00066,24.75,19.108
CHINA-WAREHOUSE,2024/01/03,Truck,MAT-0142,CST-00064,18.0,19.108
CHINA-WAREHOUSE,2024/01/03,Truck,MAT-0143,CST-00037,12.0,19.108
CHINA-WAREHOUSE,2024/01/03,Truck,MAT-0144,CST-00037,25.5,38.217
CHINA-WAREHOUSE,2024/01/03,Truck,MAT-0144,CST-00038,15.0,19.108
CHINA-WAREHOUSE,2024/01/03,Truck,MAT-0144,CST-00042,25.5,38.217
CHINA-WAREHOUSE,2024/01/03,Truck,MAT-0145,CST-00003,12.0,19.108
CHINA-WAREHOUSE,2024/01/03,Truck,MAT-0145,CST-00037,25.5,38.217
CHINA-WAREHOUSE,2024/01/03,Truck,MAT-0145,CST-00038,27.009999999999998,38.217
CHINA-WAREHOUSE,2024/01/03,Truck,MAT-0145,CST-00040,25.5,38.217
CHINA-WAREHOUSE,2024/01/03,Truck,MAT-0145,CST-00041,25.5,38.217
CHINA-WAREHOUSE,2024/01/03,Truck,MAT-0145,CST-00043,25.5,38.217
CHINA-WAREHOUSE,2024/01/03,Truck,MAT-0145,CST-00044,25.5,38.217
CHINA-WAREHOUSE,2024/01/03,Truck,MAT-0145,CST-00045,25.5,38.217
CHINA-WAREHOUSE,2024/01/03,Truck,MAT-0145,CST-00054,15.0,19.108
CHINA-WAREHOUSE,2024/01/03,Truck,MAT-0145,CST-00063,25.509999999999998,38.217
CHINA-WAREHOUSE,2024/01/03,Truck,MAT-0146,CST-00049,24.75,19.108
CHINA-WAREHOUSE,2024/01/03,Truck,MAT-0146,CST-00050,24.75,19.108
CHINA-WAREHOUSE,2024/01/03,Truck,MAT-0156,CST-00056,24.689999999999998,19.108
CHINA-WAREHOUSE,2024/01/03,Truck,MAT-0264,CST-00047,24.75,19.108
CHINA-WAREHOUSE,2024/01/03,Truck,MAT-0270,CST-00038,25.5,38.217
CHINA-WAREHOUSE,2024/01/03,Truck,MAT-0270,CST-00039,25.5,38.217
CHINA-WAREHOUSE,2024/01/03,Truck,MAT-0314,CST-00003,27.0,38.217
CHINA-WAREHOUSE,2024/01/03,Truck,MAT-0314,CST-00030,10.5,19.108
CHINA-WAREHOUSE,2024/01/03,Truck,MAT-0314,CST-00037,13.5,19.108
CHINA-WAREHOUSE,2024/01/03,Truck,MAT-0314,CST-00038,9.0,19.108
CHINA-WAREHOUSE,2024/01/03,Truck,MAT-0314,CST-00055,1.5,19.108
CHINA-WAREHOUSE,2024/01/03,Truck,MAT-0318,CST-00017,24.75,19.108
CHINA-WAREHOUSE,2024/01/03,Truck,MAT-0319,CST-00051,24.75,19.108
CHINA-WAREHOUSE,2024/01/03,Truck,MAT-0319,CST-00052,24.75,19.108
CHINA-WAREHOUSE,2024/01/03,Truck,MAT-0319,CST-00058,16.5,19.108
CHINA-WAREHOUSE,2024/01/03,Truck,MAT-0321,CST-00035,24.75,19.108
CHINA-WAREHOUSE,2024/01/03,Truck,MAT-0328,CST-00038,40.5,38.217
CHINA-WAREHOUSE,2024/01/03,Truck,MAT-0328,CST-00039,25.5,38.217
CHINA-WAREHOUSE,2024/01/03,Truck,MAT-0328,CST-00061,9.0,19.108
CHINA-WAREHOUSE,2024/01/03,Truck,MAT-0328,CST-00065,15.0,19.108
CHINA-WAREHOUSE,2024/01/03,Truck,MAT-0375,CST-00025,0.1,19.108
CHINA-WAREHOUSE,2024/01/03,Truck,MAT-0378,CST-00059,24.75,19.108
CHINA-WAREHOUSE,2024/01/03,Truck,MAT-0382,CST-00052,49.51,57.325
CHINA-WAREHOUSE,2024/01/03,Truck,MAT-0386,CST-00060,2.7600000000000002,19.108
CHINA-WAREHOUSE,2024/01/03,Truck,MAT-0389,CST-00036,25.5,38.217
CHINA-WAREHOUSE,2024/01/03,Truck,MAT-0415,CST-00046,24.75,19.108
CHINA-WAREHOUSE,2024/01/03,Truck,MAT-0415,CST-00048,24.75,19.108
CHINA-WAREHOUSE,2024/01/03,Truck,MAT-0415,CST-00049,49.5,38.217
CHINA-WAREHOUSE,2024/01/03,Truck,MAT-0428,CST-00016,24.75,19.108
CHINA-WAREHOUSE,2024/01/04,Truck,MAT-0013,CST-00075,3.0,19.108
CHINA-WAREHOUSE,2024/01/04,Truck,MAT-0015,CST-00071,24.75,19.108
CHINA-WAREHOUSE,2024/01/04,Truck,MAT-0046,CST-00025,0.15,19.108
CHINA-WAREHOUSE,2024/01/04,Truck,MAT-0046,CST-00076,0.05,19.108
CHINA-WAREHOUSE,2024/01/04,Truck,MAT-0055,CST-00025,0.2,19.108
CHINA-WAREHOUSE,2024/01/04,Truck,MAT-0082,CST-00084,22.5,19.108
CHINA-WAREHOUSE,2024/01/04,Truck,MAT-0084,CST-00050,24.75,19.108
CHINA-WAREHOUSE,2024/01/04,Truck,MAT-0084,CST-00058,24.75,19.108
CHINA-WAREHOUSE,2024/01/04,Truck,MAT-0099,CST-00011,24.75,19.108
CHINA-WAREHOUSE,2024/01/04,Truck,MAT-0111,CST-00086,24.75,19.108
CHINA-WAREHOUSE,2024/01/04,Truck,MAT-0112,CST-00072,72.98,57.325
CHINA-WAREHOUSE,2024/01/04,Truck,MAT-0112,CST-00079,0.5,19.108
CHINA-WAREHOUSE,2024/01/04,Truck,MAT-0143,CST-00003,6.0,19.108
CHINA-WAREHOUSE,2024/01/04,Truck,MAT-0143,CST-00037,12.0,19.108
CHINA-WAREHOUSE,2024/01/04,Truck,MAT-0144,CST-00037,25.5,38.217
CHINA-WAREHOUSE,2024/01/04,Truck,MAT-0145,CST-00038,25.5,38.217
CHINA-WAREHOUSE,2024/01/04,Truck,MAT-0145,CST-00043,25.5,38.217
CHINA-WAREHOUSE,2024/01/04,Truck,MAT-0145,CST-00067,25.5,38.217
CHINA-WAREHOUSE,2024/01/04,Truck,MAT-0145,CST-00079,1.51,19.108
CHINA-WAREHOUSE,2024/01/04,Truck,MAT-0145,CST-00083,18.0,19.108
CHINA-WAREHOUSE,2024/01/04,Truck,MAT-0146,CST-00086,24.75,19.108
CHINA-WAREHOUSE,2024/01/04,Truck,MAT-0156,CST-00049,24.75,19.108
CHINA-WAREHOUSE,2024/01/04,Truck,MAT-0229,CST-00073,24.75,19.108
CHINA-WAREHOUSE,2024/01/04,Truck,MAT-0264,CST-00002,24.75,19.108
CHINA-WAREHOUSE,2024/01/04,Truck,MAT-0270,CST-00069,25.5,38.217
CHINA-WAREHOUSE,2024/01/04,Truck,MAT-0270,CST-00085,10.5,19.108
CHINA-WAREHOUSE,2024/01/04,Truck,MAT-0314,CST-00037,13.5,19.108
CHINA-WAREHOUSE,2024/01/04,Truck,MAT-0314,CST-00068,25.5,38.217
CHINA-WAREHOUSE,2024/01/04,Truck,MAT-0314,CST-00082,4.5,19.108
CHINA-WAREHOUSE,2024/01/04,Truck,MAT-0317,CST-00077,0.5,19.108
CHINA-WAREHOUSE,2024/01/04,Truck,MAT-0318,CST-00017,24.75,19.108
CHINA-WAREHOUSE,2024/01/04,Truck,MAT-0319,CST-00052,74.27,76.433
CHINA-WAREHOUSE,2024/01/04,Truck,MAT-0319,CST-00070,24.75,19.108
CHINA-WAREHOUSE,2024/01/04,Truck,MAT-0319,CST-00074,49.5,38.217
CHINA-WAREHOUSE,2024/01/04,Truck,MAT-0321,CST-00050,24.75,19.108
CHINA-WAREHOUSE,2024/01/04,Truck,MAT-0328,CST-00085,15.0,19.108
CHINA-WAREHOUSE,2024/01/04,Truck,MAT-0333,CST-00080,0.1,19.108
CHINA-WAREHOUSE,2024/01/04,Truck,MAT-0340,CST-00078,0.21000000000000002,19.108
CHINA-WAREHOUSE,2024/01/04,Truck,MAT-0382,CST-00035,24.75,19.108
CHINA-WAREHOUSE,2024/01/04,Truck,MAT-0382,CST-00050,24.75,19.108
CHINA-WAREHOUSE,2024/01/04,Truck,MAT-0390,CST-00008,24.75,19.108
CHINA-WAREHOUSE,2024/01/04,Truck,MAT-0390,CST-00081,12.38,19.108
CHINA-WAREHOUSE,2024/01/04,Truck,MAT-0415,CST-00046,24.75,19.108
CHINA-WAREHOUSE,2024/01/04,Truck,MAT-0415,CST-00049,24.75,19.108
CHINA-WAREHOUSE,2024/01/05,Truck,MAT-0001,CST-00003,25.5,38.217
CHINA-WAREHOUSE,2024/01/05,Truck,MAT-0001,CST-00038,9.25,19.108
CHINA-WAREHOUSE,2024/01/05,Truck,MAT-0001,CST-00087,51.01,57.325
CHINA-WAREHOUSE,2024/01/05,Truck,MAT-0001,CST-00090,25.5,38.217
CHINA-WAREHOUSE,2024/01/05,Truck,MAT-0001,CST-00098,3.01,19.108
CHINA-WAREHOUSE,2024/01/05,Truck,MAT-0013,CST-00091,25.5,38.217
CHINA-WAREHOUSE,2024/01/05,Truck,MAT-0013,CST-00101,1.5,19.108
CHINA-WAREHOUSE,2024/01/05,Truck,MAT-0015,CST-00100,13.75,19.108
CHINA-WAREHOUSE,2024/01/05,Truck,MAT-0035,CST-00025,4.13,19.108
CHINA-WAREHOUSE,2024/01/05,Truck,MAT-0035,CST-00097,2.75,19.108
CHINA-WAREHOUSE,2024/01/05,Truck,MAT-0084,CST-00093,24.75,19.108
CHINA-WAREHOUSE,2024/01/05,Truck,MAT-0097,CST-00074,24.75,19.108
CHINA-WAREHOUSE,2024/01/05,Truck,MAT-0103,CST-00096,1.38,19.108
CHINA-WAREHOUSE,2024/01/05,Truck,MAT-0112,CST-00072,24.75,19.108
CHINA-WAREHOUSE,2024/01/05,Truck,MAT-0142,CST-00025,0.03,19.108
CHINA-WAREHOUSE,2024/01/05,Truck,MAT-0142,CST-00101,9.0,19.108
CHINA-WAREHOUSE,2024/01/05,Truck,MAT-0144,CST-00090,76.5,76.433
CHINA-WAREHOUSE,2024/01/05,Truck,MAT-0144,CST-00102,1.5,19.108
CHINA-WAREHOUSE,2024/01/05,Truck,MAT-0145,CST-00025,0.23,19.108
CHINA-WAREHOUSE,2024/01/05,Truck,MAT-0145,CST-00089,25.5,38.217
CHINA-WAREHOUSE,2024/01/05,Truck,MAT-0146,CST-00049,49.5,38.217
CHINA-WAREHOUSE,2024/01/05,Truck,MAT-0146,CST-00074,24.75,19.108
CHINA-WAREHOUSE,2024/01/05,Truck,MAT-0146,CST-00086,24.75,19.108
CHINA-WAREHOUSE,2024/01/05,Truck,MAT-0156,CST-00049,24.75,19.108
CHINA-WAREHOUSE,2024/01/05,Truck,MAT-0176,CST-00088,51.0,57.325
CHINA-WAREHOUSE,2024/01/05,Truck,MAT-0196,CST-00104,22.5,19.108
CHINA-WAREHOUSE,2024/01/05,Truck,MAT-0197,CST-00025,0.08,19.108
CHINA-WAREHOUSE,2024/01/05,Truck,MAT-0201,CST-00095,10.5,19.108
CHINA-WAREHOUSE,2024/01/05,Truck,MAT-0264,CST-00002,24.75,19.108
CHINA-WAREHOUSE,2024/01/05,Truck,MAT-0264,CST-00047,24.75,19.108
CHINA-WAREHOUSE,2024/01/05,Truck,MAT-0270,CST-00038,7.75,19.108
CHINA-WAREHOUSE,2024/01/05,Truck,MAT-0270,CST-00102,18.0,19.108
CHINA-WAREHOUSE,2024/01/05,Truck,MAT-0314,CST-00103,18.0,19.108
CHINA-WAREHOUSE,2024/01/05,Truck,MAT-0319,CST-00093,24.75,19.108
CHINA-WAREHOUSE,2024/01/05,Truck,MAT-0321,CST-00074,24.75,19.108
CHINA-WAREHOUSE,2024/01/05,Truck,MAT-0321,CST-00094,24.76,38.217
CHINA-WAREHOUSE,2024/01/05,Truck,MAT-0328,CST-00095,15.0,19.108
CHINA-WAREHOUSE,2024/01/05,Truck,MAT-0328,CST-00099,3.01,19.108
CHINA-WAREHOUSE,2024/01/05,Truck,MAT-0328,CST-00102,6.0,19.108
CHINA-WAREHOUSE,2024/01/05,Truck,MAT-0380,CST-00025,0.1,19.108
CHINA-WAREHOUSE,2024/01/05,Truck,MAT-0382,CST-00049,16.5,19.108
CHINA-WAREHOUSE,2024/01/05,Truck,MAT-0382,CST-00052,24.75,19.108
CHINA-WAREHOUSE,2024/01/05,Truck,MAT-0382,CST-00092,24.75,19.108
CHINA-WAREHOUSE,2024/01/05,Truck,MAT-0413,CST-00096,0.05,19.108
CHINA-WAREHOUSE,2024/01/05,Truck,MAT-0415,CST-00046,24.75,19.108
CHINA-WAREHOUSE,2024/01/06,Truck,MAT-0001,CST-00043,25.5,38.217
CHINA-WAREHOUSE,2024/01/06,Truck,MAT-0001,CST-00105,25.5,38.217
CHINA-WAREHOUSE,2024/01/06,Truck,MAT-0007,CST-00125,12.379999999999999,19.108
CHINA-WAREHOUSE,2024/01/06,Truck,MAT-0013,CST-00116,27.0,38.217
CHINA-WAREHOUSE,2024/01/06,Truck,MAT-0013,CST-00118,0.45,19.108
CHINA-WAREHOUSE,2024/01/06,Truck,MAT-0015,CST-00115,24.75,19.108
CHINA-WAREHOUSE,2024/01/06,Truck,MAT-0047,CST-00084,5.0,19.108
CHINA-WAREHOUSE,2024/01/06,Truck,MAT-0049,CST-00025,0.05,19.108
CHINA-WAREHOUSE,2024/01/06,Truck,MAT-0137,CST-00074,24.75,19.108
CHINA-WAREHOUSE,2024/01/06,Truck,MAT-0142,CST-00107,25.5,38.217
CHINA-WAREHOUSE,2024/01/06,Truck,MAT-0143,CST-00025,0.08,19.108
CHINA-WAREHOUSE,2024/01/06,Truck,MAT-0143,CST-00042,25.5,38.217
CHINA-WAREHOUSE,2024/01/06,Truck,MAT-0143,CST-00117,1.5,19.108
CHINA-WAREHOUSE,2024/01/06,Truck,MAT-0143,CST-00122,9.0,19.108
CHINA-WAREHOUSE,2024/01/06,Truck,MAT-0144,CST-00042,25.5,38.217
CHINA-WAREHOUSE,2024/01/06,Truck,MAT-0145,CST-00039,25.5,38.217
CHINA-WAREHOUSE,2024/01/06,Truck,MAT-0145,CST-00045,25.5,38.217
CHINA-WAREHOUSE,2024/01/06,Truck,MAT-0145,CST-00105,40.5,38.217
CHINA-WAREHOUSE,2024/01/06,Truck,MAT-0145,CST-00110,25.5,38.217
CHINA-WAREHOUSE,2024/01/06,Truck,MAT-0145,CST-00111,25.5,38.217
CHINA-WAREHOUSE,2024/01/06,Truck,MAT-0145,CST-00123,21.0,19.108
CHINA-WAREHOUSE,2024/01/06,Truck,MAT-0146,CST-00086,24.75,19.108
CHINA-WAREHOUSE,2024/01/06,Truck,MAT-0156,CST-00049,24.75,19.108
CHINA-WAREHOUSE,2024/01/06,Truck,MAT-0176,CST-00039,25.5,38.217
CHINA-WAREHOUSE,2024/01/06,Truck,MAT-0197,CST-00025,0.05,19.108
CHINA-WAREHOUSE,2024/01/06,Truck,MAT-0201,CST-00122,16.5,19.108
CHINA-WAREHOUSE,2024/01/06,Truck,MAT-0206,CST-00118,0.15,19.108
CHINA-WAREHOUSE,2024/01/06,Truck,MAT-0229,CST-00014,24.75,19.108
CHINA-WAREHOUSE,2024/01/06,Truck,MAT-0229,CST-00113,24.75,19.108
CHINA-WAREHOUSE,2024/01/06,Truck,MAT-0259,CST-00119,10.0,19.108
CHINA-WAREHOUSE,2024/01/06,Truck,MAT-0270,CST-00085,4.52,19.108
CHINA-WAREHOUSE,2024/01/06,Truck,MAT-0314,CST-00109,25.5,38.217
CHINA-WAREHOUSE,2024/01/06,Truck,MAT-0314,CST-00123,4.5,19.108
CHINA-WAREHOUSE,2024/01/06,Truck,MAT-0316,CST-00025,0.05,19.108
CHINA-WAREHOUSE,2024/01/06,Truck,MAT-0316,CST-00093,16.51,19.108
CHINA-WAREHOUSE,2024/01/06,Truck,MAT-0319,CST-00093,19.25,19.108
CHINA-WAREHOUSE,2024/01/06,Truck,MAT-0319,CST-00114,24.75,19.108
CHINA-WAREHOUSE,2024/01/06,Truck,MAT-0321,CST-00074,24.75,19.108
CHINA-WAREHOUSE,2024/01/06,Truck,MAT-0321,CST-00086,24.75,19.108
CHINA-WAREHOUSE,2024/01/06,Truck,MAT-0326,CST-00124,24.75,19.108
CHINA-WAREHOUSE,2024/01/06,Truck,MAT-0328,CST-00108,25.5,38.217
CHINA-WAREHOUSE,2024/01/06,Truck,MAT-0379,CST-00093,13.75,19.108
CHINA-WAREHOUSE,2024/01/06,Truck,MAT-0382,CST-00086,24.75,19.108
CHINA-WAREHOUSE,2024/01/06,Truck,MAT-0386,CST-00120,24.759999999999998,38.217
CHINA-WAREHOUSE,2024/01/06,Truck,MAT-0389,CST-00106,51.0,57.325
CHINA-WAREHOUSE,2024/01/06,Truck,MAT-0389,CST-00121,10.5,19.108
CHINA-WAREHOUSE,2024/01/06,Truck,MAT-0396,CST-00112,24.75,19.108
CHINA-WAREHOUSE,2024/01/08,Truck,MAT-0001,CST-00126,25.5,38.217
CHINA-WAREHOUSE,2024/01/08,Truck,MAT-0001,CST-00136,1.5,19.108
CHINA-WAREHOUSE,2024/01/08,Truck,MAT-0007,CST-00023,24.75,19.108
CHINA-WAREHOUSE,2024/01/08,Truck,MAT-0035,CST-00092,24.75,19.108
CHINA-WAREHOUSE,2024/01/08,Truck,MAT-0049,CST-00132,49.5,38.217
CHINA-WAREHOUSE,2024/01/08,Truck,MAT-0084,CST-00130,49.51,57.325
CHINA-WAREHOUSE,2024/01/08,Truck,MAT-0143,CST-00003,15.0,19.108
CHINA-WAREHOUSE,2024/01/08,Truck,MAT-0143,CST-00128,25.5,38.217
CHINA-WAREHOUSE,2024/01/08,Truck,MAT-0143,CST-00137,4.5,19.108
CHINA-WAREHOUSE,2024/01/08,Truck,MAT-0145,CST-00008,25.5,38.217
CHINA-WAREHOUSE,2024/01/08,Truck,MAT-0145,CST-00025,0.05,19.108
CHINA-WAREHOUSE,2024/01/08,Truck,MAT-0145,CST-00039,25.5,38.217
CHINA-WAREHOUSE,2024/01/08,Truck,MAT-0145,CST-00066,16.5,19.108
CHINA-WAREHOUSE,2024/01/08,Truck,MAT-0146,CST-00086,24.759999999999998,38.217
CHINA-WAREHOUSE,2024/01/08,Truck,MAT-0159,CST-00134,15.0,19.108
CHINA-WAREHOUSE,2024/01/08,Truck,MAT-0196,CST-00028,5.0,19.108
CHINA-WAREHOUSE,2024/01/08,Truck,MAT-0206,CST-00030,22.5,19.108
CHINA-WAREHOUSE,2024/01/08,Truck,MAT-0206,CST-00034,22.5,19.108
CHINA-WAREHOUSE,2024/01/08,Truck,MAT-0261,CST-00025,0.05,19.108
CHINA-WAREHOUSE,2024/01/08,Truck,MAT-0314,CST-00025,0.05,19.108
CHINA-WAREHOUSE,2024/01/08,Truck,MAT-0314,CST-00066,9.0,19.108
CHINA-WAREHOUSE,2024/01/08,Truck,MAT-0314,CST-00129,25.5,38.217
CHINA-WAREHOUSE,2024/01/08,Truck,MAT-0314,CST-00138,0.1,19.108
CHINA-WAREHOUSE,2024/01/08,Truck,MAT-0316,CST-00018,24.75,19.108
CHINA-WAREHOUSE,2024/01/08,Truck,MAT-0318,CST-00017,24.75,19.108
CHINA-WAREHOUSE,2024/01/08,Truck,MAT-0319,CST-00012,24.75,19.108
CHINA-WAREHOUSE,2024/01/08,Truck,MAT-0321,CST-00008,24.75,19.108
CHINA-WAREHOUSE,2024/01/08,Truck,MAT-0321,CST-00010,27.48,38.217
CHINA-WAREHOUSE,2024/01/08,Truck,MAT-0321,CST-00052,24.75,19.108
CHINA-WAREHOUSE,2024/01/08,Truck,MAT-0321,CST-00074,24.75,19.108
CHINA-WAREHOUSE,2024/01/08,Truck,MAT-0321,CST-00133,49.5,38.217
CHINA-WAREHOUSE,2024/01/08,Truck,MAT-0327,CST-00131,49.51,57.325
CHINA-WAREHOUSE,2024/01/08,Truck,MAT-0328,CST-00135,10.5,19.108
CHINA-WAREHOUSE,2024/01/08,Truck,MAT-0389,CST-00127,25.5,38.217
CHINA-WAREHOUSE,2024/01/08,Truck,MAT-0415,CST-00006,24.75,19.108
CHINA-WAREHOUSE,2024/01/09,Truck,MAT-0001,CST-00105,18.0,19.108
CHINA-WAREHOUSE,2024/01/09,Truck,MAT-0001,CST-00140,15.0,19.108
CHINA-WAREHOUSE,2024/01/09,Truck,MAT-0007,CST-00156,9.63,19.108
CHINA-WAREHOUSE,2024/01/09,Truck,MAT-0009,CST-00161,41.6,38.217
CHINA-WAREHOUSE,2024/01/09,Truck,MAT-0009,CST-00165,83.2,76.433
CHINA-WAREHOUSE,2024/01/09,Truck,MAT-0035,CST-00146,49.5,38.217
CHINA-WAREHOUSE,2024/01/09,Truck,MAT-0054,CST-00150,24.75,19.108
CHINA-WAREHOUSE,2024/01/09,Truck,MAT-0055,CST-00024,16.5,19.108
CHINA-WAREHOUSE,2024/01/09,Truck,MAT-0055,CST-00167,24.76,38.217
CHINA-WAREHOUSE,2024/01/09,Truck,MAT-0065,CST-00080,0.5,19.108
CHINA-WAREHOUSE,2024/01/09,Truck,MAT-0065,CST-00157,0.7,19.108
CHINA-WAREHOUSE,2024/01/09,Truck,MAT-0084,CST-00151,24.75,19.108
CHINA-WAREHOUSE,2024/01/09,Truck,MAT-0084,CST-00152,24.75,19.108
CHINA-WAREHOUSE,2024/01/09,Truck,MAT-0113,CST-00080,0.81,19.108
CHINA-WAREHOUSE,2024/01/09,Truck,MAT-0143,CST-00144,25.5,38.217
CHINA-WAREHOUSE,2024/01/09,Truck,MAT-0144,CST-00039,25.5,38.217
CHINA-WAREHOUSE,2024/01/09,Truck,MAT-0144,CST-00139,43.5,38.217
CHINA-WAREHOUSE,2024/01/09,Truck,MAT-0144,CST-00166,18.0,19.108
CHINA-WAREHOUSE,2024/01/09,Truck,MAT-0145,CST-00043,25.5,38.217
CHINA-WAREHOUSE,2024/01/09,Truck,MAT-0145,CST-00080,0.03,19.108
CHINA-WAREHOUSE,2024/01/09,Truck,MAT-0145,CST-00105,18.0,19.108
CHINA-WAREHOUSE,2024/01/09,Truck,MAT-0145,CST-00140,36.0,38.217
CHINA-WAREHOUSE,2024/01/09,Truck,MAT-0145,CST-00141,25.5,38.217
CHINA-WAREHOUSE,2024/01/09,Truck,MAT-0145,CST-00142,25.5,38.217
CHINA-WAREHOUSE,2024/01/09,Truck,MAT-0145,CST-00143,25.5,38.217
CHINA-WAREHOUSE,2024/01/09,Truck,MAT-0145,CST-00145,25.5,38.217
CHINA-WAREHOUSE,2024/01/09,Truck,MAT-0145,CST-00155,25.509999999999998,38.217
CHINA-WAREHOUSE,2024/01/09,Truck,MAT-0145,CST-00159,7.5,19.108
CHINA-WAREHOUSE,2024/01/09,Truck,MAT-0145,CST-00162,25.5,38.217
CHINA-WAREHOUSE,2024/01/09,Truck,MAT-0145,CST-00163,25.5,38.217
CHINA-WAREHOUSE,2024/01/09,Truck,MAT-0145,CST-00164,15.0,19.108
CHINA-WAREHOUSE,2024/01/09,Truck,MAT-0148,CST-00049,24.75,19.108
CHINA-WAREHOUSE,2024/01/09,Truck,MAT-0198,CST-00080,1.81,19.108
