OUTBOUND_DATE,PLANT_NAME,MODE_OF_TRANSPORT,MATERIAL_NAME,CUSTOMER_NUMBER,NET_QUANTITY_MT
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0064,CST-00057,23.0
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00058,16.5
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0378,CST-00059,19.25
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0378,CST-00059,5.5
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0386,CST-00060,1.03
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0386,CST-00060,0.4
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0386,CST-00060,1.33
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0082,CST-00037,22.5
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0314,CST-00037,13.5
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0328,CST-00038,15.0
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00038,0.13
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00038,1.38
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0375,CST-00025,0.1
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0328,CST-00061,9.0
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0005,CST-00062,0.03
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00063,4.33
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00063,21.0
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00063,0.18
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0142,CST-00064,18.0
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0328,CST-00065,15.0
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0056,CST-00011,24.6
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0056,CST-00011,0.03
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0056,CST-00011,0.13
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0382,CST-00052,0.05
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0382,CST-00052,13.75
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0382,CST-00052,0.28
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0382,CST-00052,10.68
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0111,CST-00066,8.25
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0111,CST-00066,16.5
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0143,CST-00037,12.0
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0144,CST-00038,15.0
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0314,CST-00038,9.0
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0013,CST-00065,10.5
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00038,25.5
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00067,25.5
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0314,CST-00068,25.5
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0270,CST-00069,25.5
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00043,25.5
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0084,CST-00058,24.75
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0264,CST-00002,24.75
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00070,24.75
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0415,CST-00046,24.75
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0415,CST-00049,24.75
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0382,CST-00050,24.75
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0084,CST-00050,24.75
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0321,CST-00050,24.75
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0015,CST-00071,24.75
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00072,24.75
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00052,24.75
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0099,CST-00011,24.75
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0229,CST-00073,24.75
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00074,24.75
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0318,CST-00017,24.75
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0013,CST-00075,3.0
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0143,CST-00003,3.0
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0143,CST-00003,2.85
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0143,CST-00003,0.15
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0046,CST-00076,0.05
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0317,CST-00077,0.5
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0340,CST-00078,0.08
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0340,CST-00078,0.13
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00079,0.5
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0314,CST-00037,13.5
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0333,CST-00080,0.1
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00079,0.18
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00079,0.05
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00079,1.28
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0390,CST-00081,12.38
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0314,CST-00082,4.5
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00083,18.0
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0082,CST-00084,10.0
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0328,CST-00085,15.0
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0082,CST-00084,12.5
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00072,0.08
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00072,12.28
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00072,1.3
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00072,9.63
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00072,2.68
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00072,0.23
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00072,22.0
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00072,0.03
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00052,23.38
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00052,19.03
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00052,5.5
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00052,0.23
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00052,1.38
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00074,19.25
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00074,5.5
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0046,CST-00025,0.15
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0055,CST-00025,0.2
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0156,CST-00049,0.1
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0156,CST-00049,11.0
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0156,CST-00049,13.65
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0144,CST-00037,25.5
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0143,CST-00037,12.0
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0390,CST-00008,13.75
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0146,CST-00086,21.85
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0146,CST-00086,0.15
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0390,CST-00008,11.0
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0146,CST-00086,2.75
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0111,CST-00086,24.75
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0382,CST-00035,24.75
2024/01/04,CHINA-WAREHOUSE,Truck,MAT-0270,CST-00085,10.5
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00087,25.5
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00003,25.5
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0176,CST-00088,25.5
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00089,25.5
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0144,CST-00090,25.5
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0013,CST-00091,25.5
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0264,CST-00002,24.75
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0264,CST-00047,24.75
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0415,CST-00046,24.75
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00072,24.75
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0382,CST-00052,24.75
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0382,CST-00092,24.75
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0146,CST-00074,24.75
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0321,CST-00074,24.75
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0084,CST-00093,24.75
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00093,24.75
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0321,CST-00094,8.13
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0321,CST-00094,0.13
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0321,CST-00094,16.5
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0176,CST-00088,0.65
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0176,CST-00088,4.15
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0176,CST-00088,19.5
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0176,CST-00088,1.2
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0328,CST-00095,15.0
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0413,CST-00096,0.05
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0103,CST-00096,1.38
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0035,CST-00097,2.75
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00098,0.3
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00098,1.45
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00098,0.68
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00098,0.58
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0142,CST-00025,0.03
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0035,CST-00025,4.13
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0380,CST-00025,0.1
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0197,CST-00025,0.08
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00038,1.13
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00038,1.28
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00038,0.1
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00038,1.3
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00038,1.33
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00038,1.25
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00038,0.03
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00038,1.43
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00038,1.4
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00087,0.78
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00087,24.0
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00087,0.73
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00025,0.03
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00025,0.2
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0328,CST-00099,0.8
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0328,CST-00099,1.43
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0328,CST-00099,0.78
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0015,CST-00100,13.75
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0142,CST-00101,9.0
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0328,CST-00102,6.0
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0144,CST-00090,14.75
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0144,CST-00090,17.35
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0144,CST-00090,10.75
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0144,CST-00090,8.15
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0314,CST-00103,18.0
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0196,CST-00104,22.5
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0201,CST-00095,10.5
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0146,CST-00049,24.75
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0156,CST-00049,24.75
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0382,CST-00049,16.5
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0146,CST-00049,16.5
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0146,CST-00049,8.25
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0270,CST-00038,7.5
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0270,CST-00038,0.25
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00090,25.5
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0013,CST-00101,1.5
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0144,CST-00102,1.5
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0097,CST-00074,24.75
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0146,CST-00086,24.75
2024/01/05,CHINA-WAREHOUSE,Truck,MAT-0270,CST-00102,18.0
2024/01/06,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00043,25.5
2024/01/06,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00105,25.5
2024/01/06,CHINA-WAREHOUSE,Truck,MAT-0389,CST-00106,25.5
2024/01/06,CHINA-WAREHOUSE,Truck,MAT-0142,CST-00107,25.5
2024/01/06,CHINA-WAREHOUSE,Truck,MAT-0328,CST-00108,25.5
2024/01/06,CHINA-WAREHOUSE,Truck,MAT-0314,CST-00109,25.5
2024/01/06,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00039,25.5
2024/01/06,CHINA-WAREHOUSE,Truck,MAT-0176,CST-00039,25.5
2024/01/06,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00110,25.5
2024/01/06,CHINA-WAREHOUSE,Truck,MAT-0143,CST-00042,25.5
2024/01/06,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00105,25.5
2024/01/06,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00111,25.5
2024/01/06,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00045,25.5
2024/01/06,CHINA-WAREHOUSE,Truck,MAT-0396,CST-00112,24.75
2024/01/06,CHINA-WAREHOUSE,Truck,MAT-0229,CST-00113,24.75
2024/01/06,CHINA-WAREHOUSE,Truck,MAT-0229,CST-00014,24.75
2024/01/06,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00114,24.75
2024/01/06,CHINA-WAREHOUSE,Truck,MAT-0015,CST-00115,24.75
2024/01/06,CHINA-WAREHOUSE,Truck,MAT-0321,CST-00074,24.75
2024/01/06,CHINA-WAREHOUSE,Truck,MAT-0382,CST-00086,24.75
2024/01/06,CHINA-WAREHOUSE,Truck,MAT-0321,CST-00086,24.75
2024/01/06,CHINA-WAREHOUSE,Truck,MAT-0013,CST-00116,1.5
2024/01/06,CHINA-WAREHOUSE,Truck,MAT-0143,CST-00117,1.5
2024/01/06,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00105,15.0
2024/01/06,CHINA-WAREHOUSE,Truck,MAT-0013,CST-00116,18.1
2024/01/06,CHINA-WAREHOUSE,Truck,MAT-0270,CST-00085,1.28
2024/01/06,CHINA-WAREHOUSE,Truck,MAT-0270,CST-00085,0.43
2024/01/06,CHINA-WAREHOUSE,Truck,MAT-0013,CST-00118,0.45
2024/01/06,CHINA-WAREHOUSE,Truck,MAT-0270,CST-00085,1.23
2024/01/06,CHINA-WAREHOUSE,Truck,MAT-0270,CST-00085,0.65
2024/01/06,CHINA-WAREHOUSE,Truck,MAT-0143,CST-00025,0.08
2024/01/06,CHINA-WAREHOUSE,Truck,MAT-0270,CST-00085,0.93
2024/01/06,CHINA-WAREHOUSE,Truck,MAT-0047,CST-00084,5.0
2024/01/06,CHINA-WAREHOUSE,Truck,MAT-0259,CST-00119,10.0
2024/01/06,CHINA-WAREHOUSE,Truck,MAT-0316,CST-00025,0.05
2024/01/06,CHINA-WAREHOUSE,Truck,MAT-0386,CST-00120,0.05
2024/01/06,CHINA-WAREHOUSE,Truck,MAT-0386,CST-00120,1.38
2024/01/06,CHINA-WAREHOUSE,Truck,MAT-0386,CST-00120,16.5
